Time,Position,Velocity,Position Error,Velocity Setpoint,Velocity Error,Target Torque,Target Pos
0.001244074,-18.326,0,288.326,-80.01047,80.01047,-3.400445,270
0.011511074,-18.326,0,288.326,-80.73128,80.73128,-3.685166,270
0.020738555,-18.178,3.25,288.178,-81.35553,78.10553,-3.524408,270
0.030966852,-17.694,5.33,287.694,-81.81566,76.48566,-3.726268,270
0.041108593,-16.92,9.780001,286.92,-81.61276,71.83276,-3.4922576,270
0.05134948,-15.661,13.06,285.661,-81.084656,68.02466,-3.5733542,270
0.061592665,-14.0460005,17.630001,284.046,-80.50702,62.877018,-3.4241762,270
0.07080896,-12.028,20.9,282.028,-79.800964,58.900963,-3.5002553,270
0.08096702,-9.887,24.91,279.887,-79.166046,54.256046,-3.3999343,270
0.091545925,-7.1629996,27.970001,277.163,-78.198326,50.228325,-3.4106855,270
0.10124424,-3.832,31.539999,273.832,-77.05468,45.51468,-3.2844822,270
0.11108559,-0.528,35.28,270.528,-76.156204,40.876205,-3.2067716,270
0.12153709,2.992,38.47,267.008,-75.10719,36.63719,-3.158764,270
0.13101561,7.1949997,41.98,262.805,-73.69525,31.715252,-2.989955,270
0.14158978,11.356,44.8,258.644,-72.56674,27.766743,-2.9744387,270
0.15122995,16.198,47.48,253.802,-70.9798,23.499798,-2.8386276,270
0.16111954,21.101,50.19,248.899,-69.608604,19.418606,-2.7378578,270
0.17149867,26.098999,53.22,243.901,-68.198524,14.978523,-2.570784,270
0.18145409,32.281,54.77,237.719,-66.054474,11.284473,-2.5071855,270
0.19118057,37.507,57.129997,232.493,-64.97583,7.845833,-2.4084103,270
0.20152107,43.044,60.2,226.956,-63.336525,3.1365242,-2.1325793,270
0.21092407,49.357998,61.18,220.642,-61.308804,0.12880325,-2.1402118,270
0.22104286,55.645,62.390003,214.355,-59.589996,-2.8000069,-2.0219777,270
0.23171341,61.816998,65.229996,208.183,-57.935825,-7.2941704,-1.7065741,270
0.24148495,68.834,65.47,201.166,-55.689278,-9.780724,-1.7332311,270
0.25113082,75.333,67.39,194.66699,-54.0963,-13.293701,-1.4824958,270
0.26159516,81.825,68.46,188.175,-52.31363,-16.14637,-1.3775463,270
0.270965,88.933,68.81,181.067,-50.127926,-18.682072,-1.2531854,270
0.28087103,95.660995,69.35,174.339,-48.420227,-20.929771,-1.1325531,270
0.29129198,102.321,69.96,167.679,-46.614223,-23.345776,-0.9649257,270
0.30140874,109.58199,70.22,160.418,-44.392075,-25.827927,-0.7961089,270
0.31140134,116.70799,71.840004,153.292,-42.483055,-29.356949,-0.5030403,270
0.32127854,123.716,70.78,146.284,-40.600098,-30.179901,-0.59762776,270
0.3315199,130.875,70.61,139.125,-38.574753,-32.035248,-0.3658962,270
0.34095404,138.34,70.81,131.66,-36.407127,-34.40287,-0.14676353,270
0.35121563,144.85501,70.32,125.14499,-34.97174,-35.34826,-0.1272448,270
0.3623824,152.149,71.75,117.851,-32.673775,-39.076225,0.32825777,270
0.37079057,162.376,69.909996,107.62399,-28.761473,-41.14852,0.3898456,270
0.38160947,166.234,70.15,103.76601,-30.088907,-40.061096,0.20952228,270
0.3911898,173.67099,69.56,96.32901,-26.701605,-42.85839,0.719914,270
0.4019024,182.86899,68.659996,87.13101,-23.51178,-45.148216,0.88631743,270
0.4114267,188.293,69.03,81.707,-23.435421,-45.594578,0.87989855,270
0.4212282,194.1,67.840004,75.899994,-21.694872,-46.145134,1.0250982,270
0.43248916,200.69101,67.340004,69.30899,-19.588346,-47.751656,1.2879356,270
0.44119003,209.222,66.46,60.778,-16.51483,-49.945168,1.5445633,270
0.45135862,213.88701,65.35,56.11299,-16.681694,-48.668304,1.3548814,270
0.4614738,220.51599,64.31,49.48401,-14.122234,-50.187763,1.7508533,270
0.47136182,226.98999,63.26,43.01001,-12.400003,-50.859993,1.8413503,270
0.48094207,233.1,61.4,36.899994,-10.856242,-50.54376,1.8809254,270
0.49115416,238.827,59.75,31.173004,-9.424955,-50.325043,2.0053034,270
0.5014445,244.88,58.079998,25.119995,-7.6381207,-50.44188,2.1612482,270
0.5110997,250.76201,56.05,19.237991,-6.084696,-49.9653,2.222592,270
0.521129,256.521,54.3,13.479004,-4.547106,-49.75289,2.3582907,270
0.5313297,261.396,52.6,8.604004,-3.5379763,-49.062023,2.4174266,270
0.54170954,266.61102,49.620003,3.388977,-1.9763336,-47.64367,2.4252398,270
0.551349,271.819,47.57,-1.8190002,-0.54223585,-47.027763,2.578357,270
0.5607671,276.63202,45.79,-6.632019,0.6498151,-46.439816,2.6730354,270
0.5715292,280.445,43.16,-10.445007,1.349488,-44.509487,2.6064172,270
0.5807842,285.149,40.22,-15.148987,3.0150764,-43.235077,2.7127223,270
0.59112334,288.687,38.05,-18.687012,3.5975182,-41.64752,2.7298527,270
0.60128754,292.381,35.48,-22.381012,4.727812,-40.20781,2.7838728,270
0.6115791,295.628,33.4,-25.62799,5.5171676,-38.917168,2.84072,270
0.62111914,298.88998,30.36,-28.889984,6.492071,-36.852074,2.7921624,270
