Time,Position,Velocity,Position Error,Velocity Setpoint,Velocity Error,Target Torque,Target Pos
0.002089704,-3.8209999,0,183.821,-78.123924,78.123924,-32,180
0.004138537,-3.8209999,0,183.821,-78.123924,78.123924,-32,180
0.006071871,-3.809,1.4399999,183.809,-78.114334,76.67433,-32,180
0.00807526,-3.7310002,5.83,183.731,-78.05643,72.226425,-32,180
0.010089057,-3.557,9.13,183.557,-77.94648,68.81648,-32,180
0.01206765,-3.2979999,9.38,183.298,-77.804535,68.42454,-32,180
0.014076743,-3.106,8.68,183.106,-77.748055,69.068054,-32,180
0.016080707,-3.106,7.22,183.106,-77.82005,70.60005,-32,180
0.018080004,-2.948,5.67,182.948,-77.69365,72.02365,-32,180
0.020057151,-2.835,4.68,182.835,-77.662506,72.982506,-32,180
0.02205506,-2.692,4.0099998,182.692,-77.59048,73.580475,-32,180
0.024053782,-2.615,4.7,182.615,-77.582504,72.88251,-32,180
0.026054356,-2.523,6.05,182.523,-77.537766,71.48776,-32,180
0.028060356,-2.396,7.6800003,182.396,-77.47068,69.79068,-32,180
0.030067524,-2.24,9.3,182.24,-77.39351,68.093506,-32,180
0.03205645,-2.025,11.2300005,182.025,-77.28,66.049995,-32,180
0.03405599,-1.7739999,12.11,181.774,-77.15983,65.04983,-32,180
0.036060933,-1.546,12.2,181.546,-77.07155,64.87155,-32,180
0.038074397,-1.112,12.5,181.112,-76.80985,64.30985,-32,180
0.04005584,-0.859,12.62,180.859,-76.770195,64.15019,-32,180
0.042054027,-0.631,12.969999,180.631,-76.68268,63.712677,-32,180
0.044053935,-0.334,13.960001,180.334,-76.53058,62.57058,-32,180
0.04605386,-0.031,15.110001,180.031,-76.39955,61.28955,-32,180
0.048053935,0.29000002,15.99,179.71,-76.25638,60.26638,-32,180
0.050053768,0.623,16.630001,179.377,-76.11035,59.48035,-32,180
0.052053865,0.943,16.960001,179.057,-75.97923,59.019234,-32,180
0.054053843,1.297,17.619999,178.703,-75.816025,58.196026,-32,180
0.056053866,1.675,18.78,178.325,-75.64637,56.86637,-32,180
0.058053937,2.073,19.810001,177.927,-75.469734,55.659733,-32,180
0.060053844,2.483,20.45,177.517,-75.29097,54.84097,-32,180
0.062053885,2.898,20.7,177.102,-75.11273,54.41273,-32,180
0.064053886,3.3240001,21.17,176.676,-74.92755,53.757553,-32,180
0.06605403,3.759,21.710001,176.241,-74.7393,53.029305,-32,180
0.06805392,4.234,22.369999,175.766,-74.52243,52.15243,-32,180
0.07005405,4.6689997,23.14,175.331,-74.35254,51.21254,-32,180
0.07205389,5.194,24.59,174.806,-74.09567,49.505672,-32,180
0.07405381,5.708,25.63,174.29199,-73.88135,48.25135,-31.44417,180
0.07605385,6.237,26.36,173.763,-73.6509,47.2909,-30.937963,180
0.07805385,6.745,27.01,173.255,-73.44288,46.432877,-30.47373,180
0.08005389,7.333,27.62,172.66699,-73.16297,45.54297,-29.98189,180
0.08205383,7.8589997,27.929998,172.141,-72.962685,45.032684,-29.729706,180
0.084053926,8.473001,28.9,171.527,-72.66872,43.768715,-28.977997,180
0.086053886,9.1050005,29.670002,170.895,-72.39339,42.723385,-28.419462,180
0.08805394,9.632,30.05,170.368,-72.20877,42.15877,-28.144978,180
0.09005537,10.287001,30.77,169.713,-71.8824,41.1124,-27.533342,180
0.092054404,10.915,31.38,169.085,-71.62563,40.245636,-27.070091,180
0.09405442,11.594999,31.89,168.405,-71.31712,39.427124,-26.623531,180
0.09605429,12.214,32.95,167.786,-71.07693,38.126926,-25.872295,180
0.09805427,12.883,33.370003,167.117,-70.77386,37.403854,-25.51789,180
0.100054406,13.561,33.86,166.439,-70.482315,36.622314,-25.083658,180
0.102054395,14.259,34.86,165.741,-70.17818,35.318176,-24.327187,180
0.10405994,15.004,35.010002,164.996,-69.84393,34.83393,-24.122345,180
0.106054336,15.6380005,36.03,164.362,-69.616104,33.586105,-23.378773,180
0.10805428,16.369999,36.54,163.63,-69.26826,32.728256,-22.936203,180
0.11005435,17.113,37.14,162.887,-68.94835,31.80835,-22.4256,180
0.11205421,17.864,37.489998,162.136,-68.62618,31.136185,-22.07449,180
0.11405428,18.632,38.34,161.368,-68.293396,29.953396,-21.385658,180
0.11605427,19.466,39.18,160.534,-67.9142,28.7342,-20.71237,180
0.11805425,20.213001,39.78,159.787,-67.62936,27.849358,-20.250784,180
0.120054245,21.02,40.260002,158.98,-67.26387,27.003868,-19.788715,180
0.12205425,21.842,41.07,158.158,-66.908905,25.838905,-19.124027,180
